network,m0,m1,m2,m3,m4,m5,m6,total
ord,       0,    2355,       0,       0,       8,       0,      55,    2418
ord,       0,    2707,       0,       0,       4,       0,      60,    2771
ord,       1,    3054,       0,       0,       7,       0,      59,    3121
ord,       0,    2921,       0,       0,       3,       0,      59,    2983
ord,       1,    2868,       0,       0,       5,       0,      55,    2929
ord,       0,    2596,       0,       0,       6,       0,      57,    2659
ord,       0,    2768,       0,       0,       5,       0,      56,    2829
ord,       0,    2681,       0,       0,       2,       0,      62,    2745
ord,       0,    2820,       0,       0,       1,       0,      50,    2871
ord,       0,    2747,       0,       0,       4,       0,      60,    2811
ord,       0,    2752,       0,       0,       6,       0,      52,    2810
ord,       0,    2855,       0,       0,       5,       0,      63,    2923
ord,       0,    2630,       0,       0,       4,       0,      61,    2695
ord,       0,    2809,       0,       0,       4,       0,      57,    2870
ord,       1,    2913,       0,       0,       3,       0,      55,    2972
ord,       1,    2624,       0,       0,       3,       0,      50,    2678
ord,       0,    2623,       0,       0,       6,       0,      55,    2684
ord,       0,    2636,       0,       0,       5,       0,      59,    2700
ord,       0,    2707,       0,       0,       4,       0,      57,    2768
ord,       0,    2872,       0,       0,       3,       0,      61,    2936
ord,       0,    2614,       0,       0,       1,       0,      45,    2660
ord,       0,    2571,       0,       0,       3,       0,      38,    2612
ord,       1,    2561,       0,       0,       4,       0,      64,    2630
