network,m0,m1,m2,m3,m4,m5,m6,total
titan,    1530,     295,     838,     325,    4376,    3351,    1792,   12507
titan,    1518,     275,     780,     303,    4346,    3165,    1887,   12274
titan,    1520,     275,     946,     294,    4324,    3469,    1885,   12713
titan,    1520,     299,     825,     364,    4464,    3285,    1791,   12548
titan,    1415,     288,     840,     348,    4175,    3150,    1872,   12088
titan,    1287,     270,     632,     343,    4027,    2907,    1724,   11190
titan,    1543,     288,     805,     330,    4318,    3159,    1770,   12213
titan,    1426,     278,     872,     321,    4272,    3331,    1750,   12250
titan,    1344,     271,     777,     337,    4298,    3092,    1833,   11952
titan,    1533,     256,     811,     350,    4553,    3554,    1900,   12957
titan,    1149,     208,     759,     267,    3864,    2788,    1585,   10620
titan,    1467,     274,     925,     344,    4605,    3555,    1840,   13010
titan,    1447,     254,     754,     393,    4317,    3254,    1797,   12216
titan,    1575,     291,     945,     323,    4235,    3379,    1818,   12566
titan,    1320,     265,     724,     353,    4164,    3249,    1734,   11809
titan,    1548,     241,     889,     360,    4389,    3539,    1910,   12876
titan,    1448,     306,     840,     339,    4391,    3021,    1862,   12207
titan,    1585,     264,     859,     249,    4142,    3025,    1652,   11776
titan,    1443,     261,     901,     350,    4354,    3289,    1890,   12488
titan,    1340,     302,     850,     308,    4072,    3037,    1758,   11667
titan,    1498,     284,     831,     337,    4279,    3107,    1723,   12059
titan,    1507,     262,     893,     385,    4439,    3247,    1746,   12479
titan,    1540,     282,    1009,     341,    4408,    3270,    1863,   12713
titan,    1408,     258,     825,     295,    4280,    3167,    1673,   11906
titan,    1495,     276,     822,     339,    4258,    3373,    1923,   12486
titan,    1516,     282,     802,     367,    4055,    3265,    1896,   12183
titan,    1394,     289,     909,     344,    4339,    3176,    1842,   12293
titan,    1487,     273,     766,     373,    4427,    2971,    1798,   12095
titan,    1439,     270,     832,     335,    4233,    3211,    1777,   12097
titan,    1566,     281,     848,     361,    4329,    3235,    1840,   12460
titan,    1413,     245,     869,     286,    4202,    3059,    1678,   11752
titan,    1394,     268,     890,     324,    4149,    3350,    1724,   12099
titan,    1537,     281,     857,     386,    4211,    3360,    1844,   12476
titan,    1354,     242,     843,     363,    4227,    3128,    1658,   11815
hydrothermal,      27,      17,       6,       8,      34,      29,      40,     161
hydrothermal,      25,      12,       9,      12,      48,      47,      42,     195
hydrothermal,      26,       7,       1,       4,      45,      15,      31,     129
hydrothermal,      10,      15,       2,       2,      59,      21,      38,     147
hydrothermal,      24,      10,       6,       8,      36,      36,      38,     158
hydrothermal,      34,      10,       5,      10,      52,      41,      41,     193
hydrothermal,      19,      16,       3,      10,      54,      38,      53,     193
hydrothermal,      21,      12,       3,       6,      47,      18,      49,     156
hydrothermal,      17,       8,       2,       5,      35,      20,      37,     124
hydrothermal,      21,       7,       5,       4,      32,      25,      35,     129
hydrothermal,      17,       9,       5,       7,      40,      31,      53,     162
hydrothermal,       7,      13,       5,       3,      48,      35,      36,     147
hydrothermal,      11,      16,       4,       3,      38,      28,      56,     156
hydrothermal,      10,       6,       6,       3,      35,      20,      21,     101
hydrothermal,      26,      10,       2,      11,      51,      11,      22,     133
hydrothermal,      22,      11,       2,       9,      37,      24,      43,     148
hydrothermal,      15,       6,       5,       7,      29,       5,      44,     111
hydrothermal,      25,      15,       9,      12,      55,      33,      41,     190
hydrothermal,      14,       8,       3,       4,      37,      18,      30,     114
hydrothermal,      14,       8,       3,       4,      28,      28,      27,     112
hydrothermal,      11,      12,       2,       9,      29,      18,      33,     114
hydrothermal,      16,       9,       2,       6,      33,      26,      41,     133
hydrothermal,      20,      11,       3,       4,      46,      22,      42,     148
hydrothermal,      31,      10,       8,       5,      42,      39,      35,     170
hydrothermal,      12,       7,       0,       4,      25,      18,      30,      96
hydrothermal,      23,      11,       4,       6,      56,      26,      44,     170
hydrothermal,      18,       8,       4,       4,      48,      31,      34,     147
hydrothermal,      11,      13,       3,       4,      31,      16,      34,     112
hydrothermal,      22,      16,       7,       6,      54,      18,      54,     177
hydrothermal,      12,      12,       8,       4,      37,      23,      45,     141
hydrothermal,      12,       9,       2,       1,      21,      12,      34,      91
hydrothermal,      28,      10,       1,       9,      41,      21,      30,     140
hydrothermal,      38,      14,       9,       9,      47,      27,      45,     189
hydrothermal,      17,       9,       1,       7,      45,      23,      30,     132
hydrothermal,      20,      13,       6,       9,      34,      35,      37,     154
hydrothermal,      12,       8,       3,       9,      38,      20,      37,     127
hydrothermal,      15,      14,       7,      14,      47,      54,      45,     196
hydrothermal,      15,      11,       1,       4,      38,      23,      45,     137
hydrothermal,      16,      12,       9,       6,      40,      35,      41,     159
hydrothermal,      22,      10,       6,       2,      51,      35,      46,     172
ord,       0,    2769,       0,       0,       3,       0,      63,    2835
ord,       0,    2799,       0,       0,       3,       0,      60,    2862
ord,       0,    2586,       0,       0,       5,       0,      55,    2646
ord,       0,    2750,       0,       0,       6,       0,      59,    2815
ord,       0,    3096,       0,       0,       5,       0,      70,    3171
ord,       0,    2804,       0,       0,       6,       0,      62,    2872
ord,       0,    2609,       0,       0,       4,       0,      54,    2667
ord,       1,    2529,       0,       0,       3,       0,      43,    2576
ord,       0,    2617,       0,       0,       3,       0,      60,    2680
ord,       0,    2791,       0,       0,       8,       0,      58,    2857
ord,       0,    2624,       0,       0,       7,       0,      53,    2684
ord,       0,    2759,       0,       0,       3,       0,      56,    2818
ord,       0,    2375,       0,       0,       5,       0,      60,    2440
ord,       0,    2825,       0,       0,       4,       0,      69,    2898
ord,       0,    3055,       0,       0,       2,       0,      71,    3128
ord,       0,    2562,       0,       0,       5,       0,      50,    2617
ord,       0,    2543,       0,       0,       3,       0,      57,    2603
